ProductName,CategoryName
"7 Colour Pepper (1)",Capsicum
"7 Colour Pepper (2)",Capsicum
"7 Colour Pepper (Bag)",Capsicum
"Agaricus Bisporus (Bag)","Edible Mushroom"
"Agaricus Bisporus (Box)","Edible Mushroom"
Aihao,Flower/Leaf Vegetables
Amaranth,Flower/Leaf Vegetables
"Amaranth (Bag)",Flower/Leaf Vegetables
"Apricot Bao Mushroom (1)","Edible Mushroom"
"Apricot Bao Mushroom (2)","Edible Mushroom"
"Apricot Bao Mushroom (250 G)","Edible Mushroom"
"Apricot Bao Mushroom (Bag)","Edible Mushroom"
"Artemisia Stelleriana",Flower/Leaf Vegetables
"Basil (Bag)",Flower/Leaf Vegetables
"Bell Pepper (1)",Capsicum
"Bell Pepper (2)",Capsicum
"Bell Pepper (Bag)",Capsicum
"Big Broccoli",Flower/Leaf Vegetables
"Black Chicken  Mushroom","Edible Mushroom"
"Black Chicken Fir Bacteria (Box)","Edible Mushroom"
"Black Mushroom (Bag)","Edible Mushroom"
"Black Porcini","Edible Mushroom"
"Black Porcini (Box)","Edible Mushroom"
"Black Rapeseed",Flower/Leaf Vegetables
Broccoli,Cabbage
Broccoli,Flower/Leaf Vegetables
"Cabbage Stem (Bag)",Flower/Leaf Vegetables
"Caidian Quinoa Artemisia",Flower/Leaf Vegetables
"Caidian Quinoa Artemisia (Bag)",Flower/Leaf Vegetables
Caixin,Flower/Leaf Vegetables
"Caixin (Bag)",Flower/Leaf Vegetables
Changxianqie,Solanum
"Chicken Fir Bacteria","Edible Mushroom"
"Chinese Cabbage",Flower/Leaf Vegetables
"Chinese Cabbage (Bag)",Flower/Leaf Vegetables
"Chinese Cabbage Seedling",Flower/Leaf Vegetables
"Chinese Caterpillar Fungus Flowers","Edible Mushroom"
"Chinese Caterpillar Fungus Flowers (Bag)","Edible Mushroom"
"Chinese Caterpillar Fungus Flowers (Box) (1)","Edible Mushroom"
"Chinese Caterpillar Fungus Flowers (Box) (2)","Edible Mushroom"
"Chopped Red Pine","Edible Mushroom"
"Chopped Red Pine (Box)","Edible Mushroom"
Chuncai,Flower/Leaf Vegetables
"Crab Flavor Mushroom And White Mushroom Mix (Box)","Edible Mushroom"
"Dalong Eggplant",Solanum
"Dongmenkou Xiaobaicai",Flower/Leaf Vegetables
"Eggplant (1)",Solanum
"Eggplant (2)",Solanum
"Embroidered Aureus","Edible Mushroom"
"Embroidered Aureus (Bag)","Edible Mushroom"
"Foreign Garland Chrysanthemum ",Flower/Leaf Vegetables
"Foreign Garland Chrysanthemum  (Bag)",Flower/Leaf Vegetables
"Fresh Black Fungus (1)","Edible Mushroom"
"Fresh Edible Fungus (2)","Edible Mushroom"
"Fresh Edible Fungus (Bag)","Edible Mushroom"
"Fresh Lotus Root Zone (Bag)","Aquatic Tuberous Vegetables"
"Fresh Rice Dumplings Leaves",Flower/Leaf Vegetables
"Fresh Sea (2)","Edible Mushroom"
"Fruit Chili",Capsicum
"Fruit Pepper (Bag)",Capsicum
"Fruit Pepper (Orange)",Capsicum
Ganlanye,Flower/Leaf Vegetables
"Garden Chrysanthemum",Flower/Leaf Vegetables
"Garden Chrysanthemum (Bag)",Flower/Leaf Vegetables
"Ginger And Xiaomijiao Mix (Small Bag)",Capsicum
"Green And Red Hang Pepper Mix (Bag)",Capsicum
"Green And Red Jian Pepper Mix (Bag)",Capsicum
"Green Butter",Flower/Leaf Vegetables
"Green Caitai",Flower/Leaf Vegetables
"Green Eggplant (1)",Solanum
"Green Eggplant (2)",Solanum
"Green Hang Pepper (Bag)",Capsicum
"Green Hangjiao (1)",Capsicum
"Green Hangzhou Pepper (2)",Capsicum
"Green Hot Peppers",Capsicum
"Green Hot Peppers (Bag)",Capsicum
"Green Line Pepper",Capsicum
"Green Line Pepper (Bag)",Capsicum
"Haixian Mushroom (1)","Edible Mushroom"
"Haixian Mushroom (Bag)","Edible Mushroom"
"Haixian Mushroom (Bag) (1)","Edible Mushroom"
"Haixian Mushroom (Bag) (2)","Edible Mushroom"
"Haixian Mushroom (Bag) (3)","Edible Mushroom"
"Haixian Mushroom (Bag) (4)","Edible Mushroom"
"Haixian Mushroom (Bunch)","Edible Mushroom"
"Hericium ","Edible Mushroom"
"Hfyg Haixian Mushroom (Bunch)","Edible Mushroom"
"High Melon (1)","Aquatic Tuberous Vegetables"
"High Melon (2)","Aquatic Tuberous Vegetables"
"Honghu Lotus (Lotus Root)","Aquatic Tuberous Vegetables"
"Honghu Lotus Root","Aquatic Tuberous Vegetables"
"Honghu Lotus Root Powder (Fenou)","Aquatic Tuberous Vegetables"
"Hongshan Caitai",Flower/Leaf Vegetables
"Hongshan Gift Box",Flower/Leaf Vegetables
"Hongshan Shoutidai",Flower/Leaf Vegetables
Hongshujian,Flower/Leaf Vegetables
"Hongshujian (Bag)",Flower/Leaf Vegetables
"Hua Eggplant",Solanum
"Huangbaicai (2)",Flower/Leaf Vegetables
Huanghuacai,Flower/Leaf Vegetables
"Huangxincai (2)",Flower/Leaf Vegetables
"Ice Grass",Flower/Leaf Vegetables
"Ice Grass (Box)",Flower/Leaf Vegetables
Jicai,Flower/Leaf Vegetables
"Jigu (2)","Edible Mushroom"
"Jigu (Bag)","Edible Mushroom"
"Jigu Mushroom (1)","Edible Mushroom"
"Jigu Mushroom (Bunch)","Edible Mushroom"
"Juhua Youcai",Flower/Leaf Vegetables
Kuaicai,Flower/Leaf Vegetables
Lameizi,Capsicum
"Local Shanghaiqing",Flower/Leaf Vegetables
"Local Spinach",Flower/Leaf Vegetables
"Local Xiaomao Cabbage",Flower/Leaf Vegetables
Longyacai,Flower/Leaf Vegetables
"Lotus (Ea)","Aquatic Tuberous Vegetables"
"Lotus Root","Aquatic Tuberous Vegetables"
"Lotus Root Tip","Aquatic Tuberous Vegetables"
"Luosi Pepper",Capsicum
"Luosi Pepper (Bag)",Capsicum
Machixian,Flower/Leaf Vegetables
"Malan Head",Flower/Leaf Vegetables
Miantiaocai,Flower/Leaf Vegetables
"Millet Pepper",Capsicum
"Millet Pepper (Bag)",Capsicum
Mint,Flower/Leaf Vegetables
Muercai,Flower/Leaf Vegetables
"Muercai (Bag)",Flower/Leaf Vegetables
"Mushroom And Leaf Mix (Bag)","Edible Mushroom"
Mustard,Flower/Leaf Vegetables
"Naibai Caimiao",Flower/Leaf Vegetables
Naibaicai,Flower/Leaf Vegetables
Nanguajian,Flower/Leaf Vegetables
"Needle Mushroom (1)","Edible Mushroom"
"Needle Mushroom (2)","Edible Mushroom"
"Needle Mushroom (Bag)","Edible Mushroom"
"Needle Mushroom (Bag) (1)","Edible Mushroom"
"Needle Mushroom (Bag) (2)","Edible Mushroom"
"Needle Mushroom (Bag) (3)","Edible Mushroom"
"Needle Mushroom (Box)","Edible Mushroom"
"Net Lotus Root (1)","Aquatic Tuberous Vegetables"
"Net Lotus Root (2)","Aquatic Tuberous Vegetables"
"Net Lotus Root (3)","Aquatic Tuberous Vegetables"
"Niushou Shengcai",Flower/Leaf Vegetables
"Niushou Youcai",Flower/Leaf Vegetables
"Panax Notoginseng",Flower/Leaf Vegetables
"Paopaojiao (Jingpin)",Capsicum
"Pepper Mix",Capsicum
Perilla,Flower/Leaf Vegetables
"Ping Mushroom","Edible Mushroom"
"Powcan Mountain Chinese Cabbage ",Flower/Leaf Vegetables
"Purple Beicai",Flower/Leaf Vegetables
"Purple Cabbage (1)",Cabbage
"Purple Cabbage (2)",Cabbage
"Purple Hot Peppers",Capsicum
"Purple Screw Pepper",Capsicum
Qinggengsanhua,Cabbage
"Radish Leaves",Flower/Leaf Vegetables
"Red Bell Pepper (2)",Capsicum
"Red Bell Pepper (Bag)",Capsicum
"Red Coral (Leaf)",Flower/Leaf Vegetables
"Red Hang Pepper",Capsicum
"Red Hang Pepper (Bag)",Capsicum
"Red Hot Peppers",Capsicum
"Red Hot Peppers (Bag)",Capsicum
"Red Line Pepper",Capsicum
"Red Lotus Root Zone","Aquatic Tuberous Vegetables"
"Red Oak Leaf",Flower/Leaf Vegetables
"Red Pepper (1)",Capsicum
"Red Pepper (2)",Capsicum
"Red Pepper (Bag)",Capsicum
"Round Eggplant",Solanum
"Round Eggplant (1)",Solanum
"Round Eggplant (2)",Solanum
"Shanghai Green (Bag)",Flower/Leaf Vegetables
Shanghaiqing,Flower/Leaf Vegetables
"Shuanggou Cabbage",Flower/Leaf Vegetables
"Sichuan Red Cedar",Flower/Leaf Vegetables
Siguajian,Flower/Leaf Vegetables
"Sophora Japonica",Flower/Leaf Vegetables
Spinach,Flower/Leaf Vegetables
"Spinach (Bag)",Flower/Leaf Vegetables
"Suizhou Bubble Green",Flower/Leaf Vegetables
"Sweet Chinese Cabbage",Flower/Leaf Vegetables
"Tea Tree Mushroom (Bag)","Edible Mushroom"
"The Agaricus Bisporus","Edible Mushroom"
"The Crab Flavor Mushroom (1)","Edible Mushroom"
"The Crab Flavor Mushroom (2)","Edible Mushroom"
"The Crab Flavor Mushroom (Bag)","Edible Mushroom"
"The Crab Flavor Mushroom (Box)","Edible Mushroom"
"The Dandelion",Flower/Leaf Vegetables
"The Fungus Mushroom Hot Pot Package (Bag)","Edible Mushroom"
"The Local Yellow Youcai",Flower/Leaf Vegetables
"The Pork Stomach Mushroom (Box)","Edible Mushroom"
"The Red Bell Pepper (1)",Capsicum
"The Steak Mushrooms","Edible Mushroom"
"The Steak Mushrooms (Box)","Edible Mushroom"
"The White Mushroom (1)","Edible Mushroom"
"The White Mushroom (2)","Edible Mushroom"
"The White Mushroom (Bag)","Edible Mushroom"
"The White Mushroom (Box)","Edible Mushroom"
"Tremella (Flower)","Edible Mushroom"
"Velvet Antler Mushroom (Box)","Edible Mushroom"
Wandoujian,Flower/Leaf Vegetables
"Water Chestnut","Aquatic Tuberous Vegetables"
