ProductName,LossRate
"High Melon (1)",29.25%
Chuncai,29.03%
"Dongmenkou Xiaobaicai",27.84%
"Foreign Garland Chrysanthemum ",26.16%
"Purple Cabbage (1)",25.53%
"Honghu Lotus Root",24.05%
Kuaicai,20.38%
"The Steak Mushrooms (Box)",19.8%
"Purple Beicai",19.58%
Amaranth,18.52%
Spinach,18.51%
Qinggengsanhua,17.06%
"Panax Notoginseng",16.95%
Huanghuacai,16.89%
"Sophora Japonica",16.8%
"Red Lotus Root Zone",16.63%
"Bell Pepper (1)",16.33%
"Hericium ",16.19%
"The Crab Flavor Mushroom (2)",16.04%
"7 Colour Pepper (1)",15.98%
Siguajian,15.98%
"The Dandelion",15.92%
Naibaicai,15.68%
"Huangbaicai (2)",15.61%
"Lotus Root",15.32%
"Yunnan Shengcai",15.25%
"Malan Head",15.16%
"Ice Grass",15.01%
"Chinese Cabbage",14.93%
Shanghaiqing,14.43%
"Xixia Mushroom (1)",13.82%
Mustard,13.75%
Caixin,13.7%
Zhuyecai,13.62%
Nanguajian,13.46%
Mint,13.28%
Perilla,12.88%
"Yunnan Lettuces",12.81%
Miantiaocai,12.8%
"The Agaricus Bisporus",12.78%
"Wild Pink Lotus Root",12.69%
"Fresh Lotus Root Zone (Bag)",12.69%
"Jigu Mushroom (Bunch)",12.42%
"Suizhou Bubble Green",12.2%
"Niushou Youcai",12.17%
"Lotus (Ea)",12.17%
"Local Shanghaiqing",11.99%
"Chicken Fir Bacteria",11.93%
"Xiuzhen Mushroom",11.93%
"Chinese Caterpillar Fungus Flowers (Box) (1)",11.93%
"Honghu Lotus Root Powder (Fenou)",11.81%
Machixian,11.78%
"Red Pepper (1)",11.76%
"Chinese Caterpillar Fungus Flowers",11.68%
"Net Lotus Root (2)",11.62%
"Ping Mushroom",11.6%
Ganlanye,11.58%
Jicai,11.56%
"Zhijiang Red Bolt",11.38%
"White Jelly Mushroom",11.13%
"The Crab Flavor Mushroom (Bag)",11.13%
"Embroidered Aureus",11.13%
"Needle Mushroom (Bag) (3)",11.13%
"Haixian Mushroom (Bag) (4)",11.13%
"Chinese Caterpillar Fungus Flowers (Box) (2)",11.13%
"Black Chicken  Mushroom",11.03%
"Water Chestnut",11.02%
"Dalong Eggplant",10.94%
"Green Caitai",10.94%
"Fresh Rice Dumplings Leaves",10.94%
"Naibai Caimiao",10.94%
Youcaitai,10.94%
"Xixia Black Mushroom (1)",10.8%
"Shuanggou Cabbage",10.75%
"Yellow Xincai (1)",10.64%
"Sichuan Red Cedar",10.46%
"Local Spinach",10.46%
"Ice Grass (Box)",10.34%
"Xiaoqingcai (1)",10.33%
"Chinese Caterpillar Fungus Flowers (Bag)",10.28%
"Luosi Pepper",10.18%
"Black Porcini",10.17%
"Red Hang Pepper",9.99%
"Tea Tree Mushroom (Bag)",9.97%
"Haixian Mushroom (1)",9.89%
"Apricot Bao Mushroom (Bag)",9.73%
"Water Chestnut (Lingjiao)",9.61%
"The White Mushroom (1)",9.43%
"Sweet Chinese Cabbage",9.43%
"Fruit Pepper (Orange)",9.43%
"Pepper Mix",9.43%
"Apricot Bao Mushroom (250 G)",9.43%
Yuganjiao,9.43%
"Purple Hot Peppers",9.43%
"Zhijiang Red Bolt (Bag)",9.43%
"Yunnan Lettuce (Bag)",9.43%
"Yunnan Leaf Lettuce (Bag)",9.43%
"Garden Chrysanthemum (Bag)",9.43%
"Spinach (Bag)",9.43%
"Caixin (Bag)",9.43%
"Shanghai Green (Bag)",9.43%
"Xiaoqingcai (2)",9.43%
