ProductName,ProductLossRate
"7 Colour Pepper (1)",15.98%
"7 Colour Pepper (2)",9.43%
"7 Colour Pepper (Bag)",9.43%
"Agaricus Bisporus (Bag)",9.43%
Amaranth,18.52%
"Amaranth (Bag)",9.43%
"Apricot Bao Mushroom (2)",9.43%
"Apricot Bao Mushroom (250 G)",9.43%
"Apricot Bao Mushroom (Bag)",9.43%
"Apricot Bao Mushroom (Bag)",10.03%
"Basil (Bag)",9.43%
"Bell Pepper (1)",16.33%
"Bell Pepper (2)",9.43%
"Bell Pepper (Bag)",9.43%
"Black Chicken  Mushroom",11.03%
"Black Mushroom (Bag)",9.43%
"Black Porcini",10.17%
Broccoli,9.43%
"Cabbage Stem (Bag)",9.43%
"Caidian Quinoa Artemisia (Bag)",9.43%
Caixin,13.70%
"Caixin (Bag)",9.43%
"Chicken Fir Bacteria",11.93%
"Chinese Cabbage",22.27%
"Chinese Cabbage (Bag)",9.43%
"Chinese Caterpillar Fungus Flowers",11.68%
"Chinese Caterpillar Fungus Flowers (Bag)",9.43%
"Chinese Caterpillar Fungus Flowers (Bag)",11.13%
"Chinese Caterpillar Fungus Flowers (Box) (1)",11.93%
"Chinese Caterpillar Fungus Flowers (Box) (2)",11.13%
Chuncai,29.03%
"Dalong Eggplant",10.94%
"Dongmenkou Xiaobaicai",27.84%
"Eggplant (1)",9.43%
"Embroidered Aureus",11.13%
"Foreign Garland Chrysanthemum ",26.16%
"Foreign Garland Chrysanthemum  (Bag)",9.43%
"Fresh Edible Fungus (2)",9.43%
"Fresh Edible Fungus (Bag)",9.43%
"Fresh Lotus Root Zone (Bag)",12.69%
"Fresh Rice Dumplings Leaves",10.94%
"Fresh Sea (2)",9.43%
"Fruit Pepper (Bag)",9.43%
"Fruit Pepper (Orange)",9.43%
Ganlanye,11.58%
"Garden Chrysanthemum (Bag)",9.43%
"Ginger And Xiaomijiao Mix (Small Bag)",9.43%
"Green And Red Hang Pepper Mix (Bag)",9.43%
"Green And Red Jian Pepper Mix (Bag)",9.43%
"Green Butter",9.43%
"Green Caitai",10.94%
"Green Eggplant (2)",9.43%
"Green Hang Pepper (Bag)",9.43%
"Green Hot Peppers (Bag)",9.43%
"Green Line Pepper (Bag)",9.43%
"Haixian Mushroom (1)",9.89%
"Haixian Mushroom (Bag)",9.43%
"Haixian Mushroom (Bag) (4)",11.13%
"Hericium ",16.19%
"High Melon (1)",29.25%
"High Melon (2)",9.43%
"Honghu Lotus (Lotus Root)",9.43%
"Honghu Lotus Root",24.05%
"Honghu Lotus Root Powder (Fenou)",11.81%
"Hongshujian (Bag)",9.43%
"Huangbaicai (2)",15.61%
Huanghuacai,16.89%
"Huangxincai (2)",9.43%
"Ice Grass",15.01%
"Ice Grass (Box)",10.34%
Jicai,11.56%
"Jigu (2)",9.43%
"Jigu (Bag)",9.43%
"Jigu Mushroom (Bunch)",12.42%
Kuaicai,20.38%
"Local Shanghaiqing",11.99%
"Local Spinach",10.46%
Longyacai,9.43%
"Lotus (Ea)",12.17%
"Lotus Root",15.32%
