ProductsCategory,ProductsName,ProductsLossRate
"Aquatic Tuberous Vegetables","High Melon (1)",29.25%
Flower/Leaf Vegetables,Chuncai,29.03%
Flower/Leaf Vegetables,"Dongmenkou Xiaobaicai",27.84%
Flower/Leaf Vegetables,"Foreign Garland Chrysanthemum ",26.16%
Cabbage,"Purple Cabbage (1)",25.53%
"Aquatic Tuberous Vegetables","Honghu Lotus Root",24.05%
Flower/Leaf Vegetables,"Chinese Cabbage",22.27%
Flower/Leaf Vegetables,Kuaicai,20.38%
"Edible Mushroom","The Steak Mushrooms (Box)",19.8%
Flower/Leaf Vegetables,"Purple Beicai",19.58%
Flower/Leaf Vegetables,Amaranth,18.52%
Flower/Leaf Vegetables,Spinach,18.51%
Cabbage,Qinggengsanhua,17.06%
Flower/Leaf Vegetables,"Panax Notoginseng",16.95%
Flower/Leaf Vegetables,Huanghuacai,16.89%
Flower/Leaf Vegetables,"Sophora Japonica",16.8%
"Aquatic Tuberous Vegetables","Red Lotus Root Zone",16.63%
Capsicum,"Bell Pepper (1)",16.33%
"Edible Mushroom","Hericium ",16.19%
"Edible Mushroom","The Crab Flavor Mushroom (2)",16.04%
Flower/Leaf Vegetables,Siguajian,15.98%
Capsicum,"7 Colour Pepper (1)",15.98%
Flower/Leaf Vegetables,"The Dandelion",15.92%
Flower/Leaf Vegetables,Naibaicai,15.68%
Flower/Leaf Vegetables,"Huangbaicai (2)",15.61%
"Aquatic Tuberous Vegetables","Lotus Root",15.32%
Flower/Leaf Vegetables,"Yunnan Shengcai",15.25%
Flower/Leaf Vegetables,"Malan Head",15.16%
Flower/Leaf Vegetables,"Ice Grass",15.01%
Flower/Leaf Vegetables,Shanghaiqing,14.43%
"Edible Mushroom","Xixia Mushroom (1)",13.82%
Flower/Leaf Vegetables,Mustard,13.75%
Flower/Leaf Vegetables,Caixin,13.7%
Flower/Leaf Vegetables,Zhuyecai,13.62%
Flower/Leaf Vegetables,Nanguajian,13.46%
Flower/Leaf Vegetables,Mint,13.28%
Flower/Leaf Vegetables,Perilla,12.88%
Flower/Leaf Vegetables,"Yunnan Lettuces",12.81%
Flower/Leaf Vegetables,Miantiaocai,12.8%
"Edible Mushroom","The Agaricus Bisporus",12.78%
"Aquatic Tuberous Vegetables","Fresh Lotus Root Zone (Bag)",12.69%
"Aquatic Tuberous Vegetables","Wild Pink Lotus Root",12.69%
"Edible Mushroom","Jigu Mushroom (Bunch)",12.42%
Flower/Leaf Vegetables,"Suizhou Bubble Green",12.2%
Flower/Leaf Vegetables,"Niushou Youcai",12.17%
"Aquatic Tuberous Vegetables","Lotus (Ea)",12.17%
Flower/Leaf Vegetables,"Local Shanghaiqing",11.99%
"Edible Mushroom","Chinese Caterpillar Fungus Flowers (Box) (1)",11.93%
"Edible Mushroom","Xiuzhen Mushroom",11.93%
"Edible Mushroom","Chicken Fir Bacteria",11.93%
Flower/Leaf Vegetables,Machixian,11.78%
Capsicum,"Red Pepper (1)",11.76%
"Edible Mushroom","Chinese Caterpillar Fungus Flowers",11.68%
"Edible Mushroom","Ping Mushroom",11.6%
Flower/Leaf Vegetables,Ganlanye,11.58%
Flower/Leaf Vegetables,Jicai,11.56%
Flower/Leaf Vegetables,"Zhijiang Red Bolt",11.38%
"Edible Mushroom","Chinese Caterpillar Fungus Flowers (Box) (2)",11.13%
"Edible Mushroom","Haixian Mushroom (Bag) (4)",11.13%
"Edible Mushroom","Needle Mushroom (Bag) (3)",11.13%
"Edible Mushroom","Embroidered Aureus",11.13%
"Edible Mushroom","The Crab Flavor Mushroom (Bag)",11.13%
"Edible Mushroom","White Jelly Mushroom",11.13%
"Edible Mushroom","Black Chicken  Mushroom",11.03%
Flower/Leaf Vegetables,Youcaitai,10.94%
Flower/Leaf Vegetables,"Naibai Caimiao",10.94%
Flower/Leaf Vegetables,"Fresh Rice Dumplings Leaves",10.94%
Flower/Leaf Vegetables,"Green Caitai",10.94%
Solanum,"Dalong Eggplant",10.94%
"Edible Mushroom","Xixia Black Mushroom (1)",10.8%
Flower/Leaf Vegetables,"Shuanggou Cabbage",10.75%
Flower/Leaf Vegetables,"Yellow Xincai (1)",10.64%
Flower/Leaf Vegetables,"Local Spinach",10.46%
Flower/Leaf Vegetables,"Sichuan Red Cedar",10.46%
Flower/Leaf Vegetables,"Ice Grass (Box)",10.34%
Flower/Leaf Vegetables,"Xiaoqingcai (1)",10.33%
"Edible Mushroom","Chinese Caterpillar Fungus Flowers (Bag)",10.28%
Capsicum,"Luosi Pepper",10.18%
"Edible Mushroom","Black Porcini",10.17%
Capsicum,"Red Hang Pepper",9.99%
"Edible Mushroom","Tea Tree Mushroom (Bag)",9.97%
"Edible Mushroom","Haixian Mushroom (1)",9.89%
"Edible Mushroom","Apricot Bao Mushroom (Bag)",9.73%
Solanum,"Round Eggplant (1)",9.43%
Solanum,"Eggplant (1)",9.43%
Solanum,"Green Eggplant (2)",9.43%
Capsicum,"Green And Red Jian Pepper Mix (Bag)",9.43%
Capsicum,"Red Pepper (2)",9.43%
Capsicum,"Green And Red Hang Pepper Mix (Bag)",9.43%
Capsicum,"Red Pepper (Bag)",9.43%
Capsicum,"Ginger And Xiaomijiao Mix (Small Bag)",9.43%
Capsicum,"Red Bell Pepper (2)",9.43%
Capsicum,"Bell Pepper (2)",9.43%
Capsicum,"7 Colour Pepper (2)",9.43%
Capsicum,"Luosi Pepper (Bag)",9.43%
Capsicum,"Red Hot Peppers (Bag)",9.43%
Capsicum,"Green Line Pepper (Bag)",9.43%
Capsicum,"Fruit Pepper (Bag)",9.43%
Capsicum,"Red Hang Pepper (Bag)",9.43%
Capsicum,"Green Hang Pepper (Bag)",9.43%
Capsicum,"Wuhu Green Pepper (Bag)",9.43%
Capsicum,"Xiaozhoupi (Bag)",9.43%
Capsicum,"Red Bell Pepper (Bag)",9.43%
Capsicum,"Bell Pepper (Bag)",9.43%
