ProductName,ProductTotalSales
Broccoli,¥269874.25
"Net Lotus Root (1)",¥211652.1
"Xixia Mushroom (1)",¥211198.38
"Wuhu Green Pepper (1)",¥205113.7
"Yunnan Shengcai",¥129756.96
"Eggplant (2)",¥117729.42
"Paopaojiao (Jingpin)",¥95568.63
"Luosi Pepper",¥82009.34
"Yunnan Lettuces",¥70665.11
"Honghu Lotus Root Powder (Fenou)",¥64339.6
"Yunnan Lettuce (Bag)",¥63994.9
"Xixia Black Mushroom (1)",¥60116.34
"Needle Mushroom (Box)",¥58640.9
Qinggengsanhua,¥58273.2
"Red Pepper (1)",¥57285.87
Shanghaiqing,¥56891.46
"Millet Pepper (Bag)",¥54979.4
"Huangbaicai (2)",¥53478.17
Spinach,¥52349.54
"Zhijiang Qinggengsanhua",¥47414.98
Wawacai,¥45035.8
"Millet Pepper",¥40930.51
"Luosi Pepper (Bag)",¥40719.9
Zhuyecai,¥38934.74
"Chinese Cabbage",¥38758.69
"Needle Mushroom (1)",¥37318.24
"Yunnan Leaf Lettuce (Bag)",¥35692.1
"Sweet Chinese Cabbage",¥35620.06
Caixin,¥32783.37
"Green Line Pepper",¥30873.1
"Zhijiang Red Bolt",¥30845.21
Hongshujian,¥30271.25
Naibaicai,¥27812.85
"Chinese Cabbage",¥26916.75
"Garden Chrysanthemum",¥26871.04
Changxianqie,¥26304.47
Amaranth,¥25511.79
"Spinach (Bag)",¥25351.6
"Apricot Bao Mushroom (1)",¥24371.75
"Green Eggplant (1)",¥23344.21
"Agaricus Bisporus (Box)",¥22604.9
"Cabbage Stem (Bag)",¥22496.3
"Honghu Lotus Root",¥21463.04
"The White Mushroom (Bag)",¥20492.9
"Ping Mushroom",¥19641.66
"Xiaoqingcai (1)",¥18780.48
"Yellow Xincai (1)",¥17937.96
"Xiaozhoupi (Bag)",¥17567.7
"High Melon (1)",¥16257.77
"Powcan Mountain Chinese Cabbage ",¥16003.22
"Apricot Bao Mushroom (2)",¥15390.19
"Niushou Youcai",¥15172.18
"Red Hang Pepper",¥15118.54
"Green Hot Peppers",¥13361.21
"Caidian Quinoa Artemisia",¥13243.11
"Huangxincai (2)",¥13235.57
"The Agaricus Bisporus",¥12956.74
"Red Pepper (2)",¥12936.76
"Xiaoqingcai (Bag)",¥12220
"Foreign Garland Chrysanthemum ",¥11699.69
Muercai,¥11099.5
"Water Chestnut",¥10670.22
"Sichuan Red Cedar",¥10547.77
"Dalong Eggplant",¥10233.74
"Needle Mushroom (Bag) (2)",¥9964.6
"Green Line Pepper (Bag)",¥9473.8
"Pepper Mix",¥9398.9
"Shanghai Green (Bag)",¥9086
"Xixia Xianggu Mushroom (2)",¥9001.05
"7 Colour Pepper (2)",¥8980.41
"High Melon (2)",¥8966.07
"Needle Mushroom (Bag) (3)",¥8434.9
"Haixian Mushroom (Bag)",¥8188.2
"Dongmenkou Xiaobaicai",¥8012.82
"Haixian Mushroom (Bag) (4)",¥7983.7
"Round Eggplant (2)",¥7804.09
"Haixian Mushroom (1)",¥7739.51
"Ginger And Xiaomijiao Mix (Small Bag)",¥7547.8
"Apricot Bao Mushroom (Bag)",¥7085.2
"Jigu Mushroom (Bunch)",¥6612.1
"Caixin (Bag)",¥6609.8
"Haixian Mushroom (Bag) (3)",¥6437
"Red Hot Peppers",¥6413.06
"Needle Mushroom (Bag) (1)",¥6268.6
"Chinese Caterpillar Fungus Flowers (Bag)",¥5973
"Chinese Caterpillar Fungus Flowers (Bag)",¥5935.4
"Needle Mushroom (2)",¥5685.56
"Jigu Mushroom (1)",¥5661.94
"Red Hot Peppers (Bag)",¥5585.1
"7 Colour Pepper (1)",¥5557.99
"Haixian Mushroom (Bag) (1)",¥5262
"The Red Bell Pepper (1)",¥4921.81
"Green And Red Hang Pepper Mix (Bag)",¥4831.7
"Wild Lotus Root (1)",¥4659.1
"Lotus (Ea)",¥4523
"Haixian Mushroom (Bunch)",¥4177.8
"The Local Yellow Youcai",¥4138.37
"Red Bell Pepper (2)",¥3987.57
"Niushou Shengcai",¥3506.09
"Red Hang Pepper (Bag)",¥3399.2
"Green Hot Peppers (Bag)",¥3243.5
"Eggplant (1)",¥3237.7
"Crab Flavor Mushroom And White Mushroom Mix (Box)",¥2931.8
"Haixian Mushroom (Bag) (2)",¥2926.7
"Fresh Black Fungus (1)",¥2907.35
"White Caitai",¥2877.13
"Suizhou Bubble Green",¥2840.27
"Chinese Cabbage (Bag)",¥2800.6
"Bell Pepper (1)",¥2675.07
"Net Lotus Root (3)",¥2552.86
"Zhuyecai (Bag)",¥2274.5
"Yuxingcao (Bag)",¥2190.2
"Fruit Pepper (Bag)",¥2190
"Jigu (Bag)",¥2184.4
"Radish Leaves",¥2103.82
Xiaozhoupi,¥1921.86
"The Crab Flavor Mushroom (Bag)",¥1882.1
"Xixia Xianggu Mushroom (Bag)",¥1848.5
"Water Chestnut (Lingjiao)",¥1762.19
"Fresh Edible Fungus (Bag)",¥1607.1
Longyacai,¥1578.33
"Local Shanghaiqing",¥1487.57
"Green Hang Pepper (Bag)",¥1423.1
"Hongshujian (Bag)",¥1421.7
