ProductsName,ProductsCategory,TotalSales
"Net Lotus Root (1)","Aquatic Tuberous Vegetables",¥211652.1
"Honghu Lotus Root Powder (Fenou)","Aquatic Tuberous Vegetables",¥64339.6
"Honghu Lotus Root","Aquatic Tuberous Vegetables",¥21463.04
Broccoli,Cabbage,¥269874.25
Qinggengsanhua,Cabbage,¥58273.2
"Zhijiang Qinggengsanhua",Cabbage,¥47414.98
"Wuhu Green Pepper (1)",Capsicum,¥205113.7
"Paopaojiao (Jingpin)",Capsicum,¥95568.63
"Luosi Pepper",Capsicum,¥82009.34
"Xixia Mushroom (1)","Edible Mushroom",¥211198.38
"Xixia Black Mushroom (1)","Edible Mushroom",¥60116.34
"Needle Mushroom (Box)","Edible Mushroom",¥58640.9
"Yunnan Shengcai",Flower/Leaf Vegetables,¥129756.96
"Yunnan Lettuces",Flower/Leaf Vegetables,¥70665.11
"Yunnan Lettuce (Bag)",Flower/Leaf Vegetables,¥63994.9
"Eggplant (2)",Solanum,¥117729.42
Changxianqie,Solanum,¥26304.47
"Green Eggplant (1)",Solanum,¥23344.21
