ProductsName,ProductsCategory,TotalTransactions,TransactionRank
"Net Lotus Root (1)","Aquatic Tuberous Vegetables",39285,1
"Honghu Lotus Root Powder (Fenou)","Aquatic Tuberous Vegetables",6004,2
"High Melon (1)","Aquatic Tuberous Vegetables",3559,3
"Water Chestnut","Aquatic Tuberous Vegetables",2842,4
"Honghu Lotus Root","Aquatic Tuberous Vegetables",2067,5
"High Melon (2)","Aquatic Tuberous Vegetables",1926,6
"Wild Lotus Root (1)","Aquatic Tuberous Vegetables",892,7
"Net Lotus Root (3)","Aquatic Tuberous Vegetables",632,8
"Lotus (Ea)","Aquatic Tuberous Vegetables",494,9
"Red Lotus Root Zone","Aquatic Tuberous Vegetables",353,10
"Water Chestnut (Lingjiao)","Aquatic Tuberous Vegetables",307,11
"Net Lotus Root (2)","Aquatic Tuberous Vegetables",89,12
"Wild Pink Lotus Root","Aquatic Tuberous Vegetables",75,13
"Honghu Lotus (Lotus Root)","Aquatic Tuberous Vegetables",40,14
"Lotus Root Tip","Aquatic Tuberous Vegetables",34,15
"Wild Lotus Root (2)","Aquatic Tuberous Vegetables",19,16
"Fresh Lotus Root Zone (Bag)","Aquatic Tuberous Vegetables",19,17
"Water Chestnut (Bag)","Aquatic Tuberous Vegetables",10,18
Broccoli,Cabbage,58905,1
Qinggengsanhua,Cabbage,15270,2
"Zhijiang Qinggengsanhua",Cabbage,12369,3
"Purple Cabbage (1)",Cabbage,24,4
"Purple Cabbage (2)",Cabbage,2,5
"Wuhu Green Pepper (1)",Capsicum,69945,1
"Paopaojiao (Jingpin)",Capsicum,25338,2
"Luosi Pepper",Capsicum,22678,3
"Millet Pepper",Capsicum,13335,4
"Red Pepper (1)",Capsicum,12648,5
"Millet Pepper (Bag)",Capsicum,10848,6
"Green Line Pepper",Capsicum,10608,7
"Luosi Pepper (Bag)",Capsicum,8244,8
"Xiaozhoupi (Bag)",Capsicum,5178,9
"Red Hang Pepper",Capsicum,4310,10
"Green Hot Peppers",Capsicum,3551,11
"Red Pepper (2)",Capsicum,3188,12
"Green Line Pepper (Bag)",Capsicum,2307,13
"Red Hot Peppers",Capsicum,1872,14
"Ginger And Xiaomijiao Mix (Small Bag)",Capsicum,1868,15
"Green And Red Hang Pepper Mix (Bag)",Capsicum,1259,16
"7 Colour Pepper (2)",Capsicum,1058,17
"Red Hot Peppers (Bag)",Capsicum,952,18
"Green Hot Peppers (Bag)",Capsicum,932,19
"The Red Bell Pepper (1)",Capsicum,870,20
"7 Colour Pepper (1)",Capsicum,861,21
"Red Hang Pepper (Bag)",Capsicum,709,22
"Bell Pepper (1)",Capsicum,673,23
"Red Bell Pepper (2)",Capsicum,650,24
Xiaozhoupi,Capsicum,641,25
"Pepper Mix",Capsicum,641,26
"Green Hangzhou Pepper (2)",Capsicum,631,27
Lameizi,Capsicum,455,28
"Green Hang Pepper (Bag)",Capsicum,455,29
"Bell Pepper (2)",Capsicum,289,30
"Fruit Pepper (Bag)",Capsicum,283,31
"Red Line Pepper",Capsicum,248,32
"Fruit Chili",Capsicum,133,33
Yuganjiao,Capsicum,121,34
"Red Pepper (Bag)",Capsicum,93,35
"Green And Red Jian Pepper Mix (Bag)",Capsicum,45,36
"Purple Screw Pepper",Capsicum,29,37
"7 Colour Pepper (Bag)",Capsicum,18,38
"Red Bell Pepper (Bag)",Capsicum,13,39
"Purple Hot Peppers",Capsicum,7,40
