ProductsName,Date,TotalSales
"7 Colour Pepper (1)",2021-02-10,¥23.6
"7 Colour Pepper (2)",2023-03-29,¥20.89
"7 Colour Pepper (Bag)",2022-02-11,¥6.5
"7 Colour Pepper (Bag)",2022-02-11,¥6.5
"7 Colour Pepper (Bag)",2022-02-12,¥6.5
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Bag)",2022-02-08,¥8.9
"Agaricus Bisporus (Box)",2022-12-14,¥11.8
"Agaricus Bisporus (Box)",2022-12-15,¥11.8
Aihao,2023-06-22,¥2.52
Amaranth,2023-02-21,¥37.08
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-22,¥5.9
"Amaranth (Bag)",2022-10-22,¥5.9
"Amaranth (Bag)",2022-10-22,¥5.9
"Amaranth (Bag)",2022-10-22,¥5.9
"Amaranth (Bag)",2022-10-23,¥5.9
"Amaranth (Bag)",2022-10-23,¥5.9
"Amaranth (Bag)",2022-10-23,¥5.9
"Amaranth (Bag)",2022-10-24,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-19,¥5.9
"Amaranth (Bag)",2022-10-19,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Amaranth (Bag)",2022-10-21,¥5.9
"Apricot Bao Mushroom (1)",2021-02-16,¥19.63
"Apricot Bao Mushroom (2)",2022-09-20,¥6.32
"Apricot Bao Mushroom (250 G)",2021-07-18,¥4.9
"Apricot Bao Mushroom (250 G)",2021-07-05,¥4.9
"Apricot Bao Mushroom (250 G)",2021-07-18,¥4.9
"Apricot Bao Mushroom (250 G)",2021-07-18,¥4.9
"Apricot Bao Mushroom (250 G)",2021-07-05,¥4.9
"Apricot Bao Mushroom (250 G)",2021-09-22,¥4.9
"Apricot Bao Mushroom (250 G)",2021-07-05,¥4.9
"Apricot Bao Mushroom (250 G)",2021-09-23,¥4.9
"Apricot Bao Mushroom (250 G)",2021-10-06,¥4.9
"Apricot Bao Mushroom (250 G)",2021-10-06,¥4.9
"Apricot Bao Mushroom (Bag)",2022-01-12,¥3.9
"Apricot Bao Mushroom (Bag)",2022-01-12,¥3.9
