Month,TotalSalesQuantity
2020-07,33596
2020-08,36578
2020-09,28153
2020-10,31884
2020-11,28045
2020-12,27576
2021-01,28648
2021-02,33508
2021-03,26368
2021-04,23372
2021-05,25411
2021-06,24124
2021-07,26794
2021-08,30922
2021-09,24436
2021-10,22526
2021-11,14745
2021-12,17915
2022-01,24029
2022-02,17418
2022-03,16486
2022-04,15437
2022-05,17234
2022-06,18268
2022-07,25229
2022-08,31722
2022-09,24040
2022-10,29731
2022-11,22595
2022-12,21764
2023-01,31246
2023-02,20658
2023-03,21335
2023-04,19119
2023-05,19767
2023-06,17824
