Date,HighestSales
2020-07-01,¥21.69
2020-07-02,¥17.02
2020-07-03,¥17.63
2020-07-04,¥18.2
2020-07-05,¥18.73
2020-07-06,¥14.62
2020-07-07,¥18.72
2020-07-08,¥16.53
2020-07-09,¥15.92
2020-07-10,¥18.63
2020-07-11,¥25.11
2020-07-12,¥16.94
2020-07-13,¥13.7
2020-07-14,¥14.42
2020-07-15,¥21.33
2020-07-16,¥18.63
2020-07-17,¥18.72
2020-07-18,¥27.03
2020-07-19,¥18.83
2020-07-20,¥25.33
2020-07-21,¥14.72
2020-07-22,¥21.44
2020-07-23,¥18.64
2020-07-24,¥23.86
2020-07-25,¥22.83
2020-07-26,¥16.12
2020-07-27,¥32.48
2020-07-28,¥24.56
2020-07-29,¥22.06
2020-07-30,¥21.04
2020-07-31,¥19.55
2020-08-01,¥15.53
2020-08-02,¥21.54
2020-08-03,¥24.34
2020-08-04,¥22.04
2020-08-05,¥22.34
2020-08-06,¥14.74
2020-08-07,¥19.83
2020-08-08,¥26.53
2020-08-09,¥16.34
2020-08-10,¥22.93
2020-08-11,¥14.94
2020-08-12,¥16.83
2020-08-13,¥18.89
2020-08-14,¥14.83
2020-08-15,¥18.45
2020-08-16,¥14.69
2020-08-17,¥15.9
2020-08-18,¥28.77
2020-08-19,¥20.89
2020-08-20,¥15.73
2020-08-21,¥17.34
2020-08-22,¥13.8
2020-08-23,¥19.34
2020-08-24,¥15.22
2020-08-25,¥17.54
2020-08-26,¥23.84
2020-08-27,¥21.55
2020-08-28,¥18.83
2020-08-29,¥20.4
2020-08-30,¥21.75
2020-08-31,¥17.53
2020-09-01,¥16.74
2020-09-02,¥15.14
2020-09-03,¥15.31
2020-09-04,¥17.53
2020-09-05,¥18.14
2020-09-06,¥13.7
2020-09-07,¥16.73
2020-09-08,¥20.39
2020-09-09,¥18.91
2020-09-10,¥20.34
2020-09-11,¥17.94
2020-09-12,¥23.7
2020-09-13,¥28.07
2020-09-14,¥17.04
2020-09-15,¥12.42
2020-09-16,¥17.54
2020-09-17,¥16.74
2020-09-18,¥21.5
2020-09-19,¥72.1
2020-09-20,¥16
2020-09-21,¥18.65
2020-09-22,¥71.98
2020-09-23,¥13.83
2020-09-24,¥16.24
2020-09-25,¥16.24
2020-09-26,¥23.24
2020-09-27,¥16.74
2020-09-28,¥14.72
2020-09-29,¥128.02
2020-09-30,¥26.6
2020-10-01,¥120
2020-10-02,¥24.04
2020-10-03,¥21.34
2020-10-04,¥18.2
2020-10-05,¥17.34
2020-10-06,¥15.82
2020-10-07,¥18.83
2020-10-08,¥18.74
2020-10-09,¥26.17
2020-10-10,¥16.13
2020-10-11,¥15.44
2020-10-12,¥14.52
2020-10-13,¥15.53
2020-10-14,¥16.69
2020-10-15,¥14.12
2020-10-16,¥23.66
2020-10-17,¥14.82
2020-10-18,¥16.84
2020-10-19,¥26.26
2020-10-20,¥17.14
2020-10-21,¥15.3
2020-10-22,¥16.82
2020-10-23,¥20.3
2020-10-24,¥21.26
2020-10-25,¥16.93
2020-10-26,¥21.44
2020-10-27,¥24.34
2020-10-28,¥15.66
2020-10-29,¥17.7
2020-10-30,¥14.85
2020-10-31,¥23.3
2020-11-01,¥23.21
2020-11-02,¥28.2
2020-11-03,¥12.83
2020-11-04,¥12.91
2020-11-05,¥13.42
2020-11-06,¥10.21
2020-11-07,¥25.52
2020-11-08,¥17.65
2020-11-09,¥11.43
2020-11-10,¥16.24
2020-11-11,¥13.22
2020-11-12,¥18.79
2020-11-13,¥12.9
2020-11-14,¥16.13
2020-11-15,¥49.41
2020-11-16,¥25.21
2020-11-17,¥11.33
2020-11-18,¥26.66
2020-11-19,¥31.96
2020-11-20,¥26.02
2020-11-21,¥21.26
2020-11-22,¥18.84
2020-11-23,¥25.36
2020-11-24,¥17.94
2020-11-25,¥19.49
2020-11-26,¥15
2020-11-27,¥16.57
2020-11-28,¥17.11
2020-11-29,¥21.8
2020-11-30,¥14.3
2020-12-01,¥12.23
2020-12-02,¥20.22
2020-12-03,¥34.19
2020-12-04,¥19.36
2020-12-05,¥20.76
2020-12-06,¥19.92
2020-12-07,¥15.48
2020-12-08,¥19.56
2020-12-09,¥18.96
2020-12-10,¥12.83
2020-12-11,¥14.05
2020-12-12,¥20.56
2020-12-13,¥16.94
2020-12-14,¥14.3
2020-12-15,¥20.76
2020-12-16,¥30.83
2020-12-17,¥26.17
2020-12-18,¥19.23
2020-12-19,¥100
2020-12-20,¥18.56
2020-12-21,¥24.25
2020-12-22,¥18.64
2020-12-23,¥22.58
2020-12-24,¥19.55
2020-12-25,¥27.86
2020-12-26,¥20.04
2020-12-27,¥16.22
2020-12-28,¥22.42
2020-12-29,¥17.65
2020-12-30,¥16.04
2020-12-31,¥17.45
2021-01-01,¥29.21
2021-01-02,¥24.22
2021-01-03,¥23.61
