date,ProductsName,TotalSales,DateRunningTotal
2020-10-30,"Niushou Shengcai",¥1.2,¥32.13
2020-10-30,"Niushou Shengcai",¥2.11,¥32.13
2020-10-30,"Niushou Shengcai",¥3.71,¥32.13
2020-10-30,"Niushou Shengcai",¥2.31,¥32.13
2020-10-30,"Niushou Shengcai",¥2.51,¥32.13
2020-10-30,"Niushou Shengcai",¥2.01,¥32.13
2020-10-30,"Niushou Shengcai",¥2.01,¥32.13
2020-10-30,"Niushou Shengcai",¥1.31,¥32.13
2020-10-30,"Niushou Shengcai",¥1.11,¥32.13
2020-10-30,"Niushou Shengcai",¥2.31,¥32.13
2020-10-30,"Niushou Shengcai",¥1.5,¥32.13
2020-10-30,"Niushou Shengcai",¥1.11,¥32.13
2020-10-30,"Niushou Shengcai",¥1.7,¥32.13
2020-10-30,"Niushou Shengcai",¥1.61,¥32.13
2020-10-30,"Niushou Shengcai",¥1.91,¥32.13
2020-10-30,"Niushou Shengcai",¥2.01,¥32.13
2020-10-30,"Niushou Shengcai",¥1.7,¥32.13
2020-10-31,"Niushou Shengcai",¥1.61,¥68.39
2020-10-31,"Niushou Shengcai",¥0.9,¥68.39
2020-10-31,"Niushou Shengcai",¥2.21,¥68.39
2020-10-31,"Niushou Shengcai",¥1.91,¥68.39
2020-10-31,"Niushou Shengcai",¥2.21,¥68.39
2020-10-31,"Niushou Shengcai",¥3.71,¥68.39
2020-10-31,"Niushou Shengcai",¥4.72,¥68.39
2020-10-31,"Niushou Shengcai",¥1.91,¥68.39
2020-10-31,"Niushou Shengcai",¥1.01,¥68.39
2020-10-31,"Niushou Shengcai",¥4.21,¥68.39
2020-10-31,"Niushou Shengcai",¥3.01,¥68.39
2020-10-31,"Niushou Shengcai",¥2.11,¥68.39
2020-10-31,"Niushou Shengcai",¥3.01,¥68.39
2020-10-31,"Niushou Shengcai",¥0.71,¥68.39
2020-10-31,"Niushou Shengcai",¥2.11,¥68.39
2020-10-31,"Niushou Shengcai",¥0.9,¥68.39
2020-11-01,"Niushou Shengcai",¥1.1,¥128.77
2020-11-01,"Niushou Shengcai",¥0.91,¥128.77
2020-11-01,"Niushou Shengcai",¥2.81,¥128.77
2020-11-01,"Niushou Shengcai",¥1.61,¥128.77
2020-11-01,"Niushou Shengcai",¥2.81,¥128.77
2020-11-01,"Niushou Shengcai",¥1.41,¥128.77
2020-11-01,"Niushou Shengcai",¥0.7,¥128.77
2020-11-01,"Niushou Shengcai",¥3.51,¥128.77
2020-11-01,"Niushou Shengcai",¥2.61,¥128.77
2020-11-01,"Niushou Shengcai",¥3.22,¥128.77
2020-11-01,"Niushou Shengcai",¥2.61,¥128.77
2020-11-01,"Niushou Shengcai",¥1.91,¥128.77
2020-11-01,"Niushou Shengcai",¥3.41,¥128.77
2020-11-01,"Niushou Shengcai",¥2.01,¥128.77
2020-11-01,"Niushou Shengcai",¥3.92,¥128.77
2020-11-01,"Niushou Shengcai",¥2.51,¥128.77
2020-11-01,"Niushou Shengcai",¥2.61,¥128.77
2020-11-01,"Niushou Shengcai",¥1.51,¥128.77
2020-11-01,"Niushou Shengcai",¥1.91,¥128.77
2020-11-01,"Niushou Shengcai",¥2.61,¥128.77
2020-11-01,"Niushou Shengcai",¥2.21,¥128.77
2020-11-01,"Niushou Shengcai",¥3.41,¥128.77
2020-11-01,"Niushou Shengcai",¥0.91,¥128.77
2020-11-01,"Niushou Shengcai",¥3.22,¥128.77
2020-11-01,"Niushou Shengcai",¥0.8,¥128.77
2020-11-01,"Niushou Shengcai",¥1.51,¥128.77
2020-11-01,"Niushou Shengcai",¥1.21,¥128.77
