ProductsCategory,Date,TotalSales,PreviousTotalSales,SalesGrowthPercentage
"Aquatic Tuberous Vegetables",2020-07-01,¥70.28,NULL,NULL
"Aquatic Tuberous Vegetables",2020-07-02,¥53.12,¥70.28,-24.42%
"Aquatic Tuberous Vegetables",2020-07-03,¥76.69,¥53.12,44.37%
"Aquatic Tuberous Vegetables",2020-07-04,¥118.75,¥76.69,54.84%
"Aquatic Tuberous Vegetables",2020-07-05,¥40.19,¥118.75,-66.16%
"Aquatic Tuberous Vegetables",2020-07-06,¥30.78,¥40.19,-23.42%
"Aquatic Tuberous Vegetables",2020-07-07,¥31.17,¥30.78,1.28%
"Aquatic Tuberous Vegetables",2020-07-08,¥155.48,¥31.17,398.83%
"Aquatic Tuberous Vegetables",2020-07-09,¥21.06,¥155.48,-86.46%
"Aquatic Tuberous Vegetables",2020-07-10,¥128.73,¥21.06,511.26%
"Aquatic Tuberous Vegetables",2020-07-11,¥132.12,¥128.73,2.64%
"Aquatic Tuberous Vegetables",2020-07-12,¥247.96,¥132.12,87.67%
"Aquatic Tuberous Vegetables",2020-07-13,¥164.11,¥247.96,-33.82%
"Aquatic Tuberous Vegetables",2020-07-14,¥135.82,¥164.11,-17.24%
"Aquatic Tuberous Vegetables",2020-07-15,¥151.44,¥135.82,11.51%
"Aquatic Tuberous Vegetables",2020-07-16,¥162.73,¥151.44,7.45%
"Aquatic Tuberous Vegetables",2020-07-17,¥154.12,¥162.73,-5.29%
"Aquatic Tuberous Vegetables",2020-07-18,¥151.26,¥154.12,-1.86%
"Aquatic Tuberous Vegetables",2020-07-19,¥159.44,¥151.26,5.41%
"Aquatic Tuberous Vegetables",2020-07-20,¥134.25,¥159.44,-15.8%
"Aquatic Tuberous Vegetables",2020-07-21,¥213.18,¥134.25,58.79%
"Aquatic Tuberous Vegetables",2020-07-22,¥177.74,¥213.18,-16.63%
"Aquatic Tuberous Vegetables",2020-07-23,¥207.48,¥177.74,16.74%
"Aquatic Tuberous Vegetables",2020-07-24,¥197.43,¥207.48,-4.84%
"Aquatic Tuberous Vegetables",2020-07-25,¥150.72,¥197.43,-23.66%
"Aquatic Tuberous Vegetables",2020-07-26,¥234.47,¥150.72,55.57%
"Aquatic Tuberous Vegetables",2020-07-27,¥246.97,¥234.47,5.33%
"Aquatic Tuberous Vegetables",2020-07-28,¥166.79,¥246.97,-32.47%
"Aquatic Tuberous Vegetables",2020-07-29,¥226.97,¥166.79,36.09%
"Aquatic Tuberous Vegetables",2020-07-30,¥126.79,¥226.97,-44.14%
"Aquatic Tuberous Vegetables",2020-07-31,¥213.33,¥126.79,68.25%
"Aquatic Tuberous Vegetables",2020-08-01,¥237.81,¥213.33,11.47%
"Aquatic Tuberous Vegetables",2020-08-02,¥627.75,¥237.81,163.97%
"Aquatic Tuberous Vegetables",2020-08-03,¥195.62,¥627.75,-68.84%
"Aquatic Tuberous Vegetables",2020-08-04,¥319.55,¥195.62,63.35%
"Aquatic Tuberous Vegetables",2020-08-05,¥258.01,¥319.55,-19.26%
"Aquatic Tuberous Vegetables",2020-08-06,¥220.9,¥258.01,-14.39%
"Aquatic Tuberous Vegetables",2020-08-07,¥312.62,¥220.9,41.52%
